Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Dependency=Vintage	Option=EF 6.7	Option=EF 10.2	Option=EF 10.5	Option=EF 15.9	Option=EF 17.6	Option=EF 19.9	Option=EF 21.9	Option=None	Option=Void	source_count	source_weight	sampling_probability
0-100%	Mobile Home	AK	Not Available	1940s	0	0	0	0	0	0	0	0	1	1.33653	1.5395e-17	0
0-100%	Mobile Home	AK	Not Available	1950s	0	0	0	0	0	0	0	0	1	1.33653	123.607	0
0-100%	Mobile Home	AK	Not Available	1960s	0	0	0	0	0	0	0	0	1	0.943431	1.5395e-17	0
0-100%	Mobile Home	AK	Not Available	1970s	0	0	0	0	0	0	0	0	1	4.55992	1156.17	0
0-100%	Mobile Home	AK	Not Available	1980s	0	0	0	0	0	0	0	0	1	4.95301	197.274	0
0-100%	Mobile Home	AK	Not Available	1990s	0	0	0	0	0	0	0	0	1	2.27996	1.5395e-17	0
0-100%	Mobile Home	AK	Not Available	2000s	0	0	0	0	0	0	0	0	1	4.16682	1.5395e-17	0
0-100%	Mobile Home	AK	Not Available	2010s	0	0	0	0	0	0	0	0	1	2.0441	294.285	0
0-100%	Mobile Home	AK	Not Available	<1940	0	0	0	0	0	0	0	0	1	1.33653	1.5395e-17	0
0-100%	Mobile Home	AK	Owner	1940s	0	0	0	0.00645885	0.100939	0.0550409	0	0.837561	0	0.607617	8.34068e-18	1.33201e-07
0-100%	Mobile Home	AK	Owner	1950s	0	0	0	0.00645885	0.100939	0.0550409	0	0.837561	0	0.607617	66.9675	4.97177e-07
0-100%	Mobile Home	AK	Owner	1960s	0	0	0	0.00974089	0.228999	0.138195	0	0.623065	0	0.428906	8.34068e-18	1.10477e-06
0-100%	Mobile Home	AK	Owner	1970s	0	0	0	0.0356435	0.0857181	0.0606564	0	0.817982	0	2.07305	626.39	4.68241e-06
0-100%	Mobile Home	AK	Owner	1980s	0	0	0	0.0127778	0.129638	0.106734	0	0.750851	0	2.25176	106.879	1.44041e-06
0-100%	Mobile Home	AK	Owner	1990s	0	0	0	0.0419741	0.14155	0.0446301	0	0.771846	0	1.03652	8.34068e-18	3.1576e-07
0-100%	Mobile Home	AK	Owner	2000s	0	0	0	0.0301055	0.141277	0.0514358	0	0.777182	0	1.89433	8.34068e-18	2.19144e-07
0-100%	Mobile Home	AK	Owner	2010s	0	0	0	0.00185449	0.0587024	0.069096	0	0.870347	0	0.929296	159.438	3.26188e-07
0-100%	Mobile Home	AK	Owner	<1940	0	0	0	0.0138951	0.217153	0.118411	0	0.650541	0	0.607617	8.34068e-18	6.29719e-08
0-100%	Mobile Home	AK	Renter	1940s	0	0	0	0	0	0	0	1	0	0.134881	1.0725e-18	6.98183e-08
0-100%	Mobile Home	AK	Renter	1950s	0	0	0	0	0	0	0	1	0	0.134881	8.61116	2.08479e-07
0-100%	Mobile Home	AK	Renter	1960s	0	0	0	0	0	0	0	1	0	0.0952105	1.0725e-18	4.42703e-07
0-100%	Mobile Home	AK	Renter	1970s	0	0	0	0	0	0	0	1	0	0.460184	80.5456	1.95088e-06
0-100%	Mobile Home	AK	Renter	1980s	0	0	0	0	0	0	0	1	0	0.499855	13.7432	1.50031e-06
0-100%	Mobile Home	AK	Renter	1990s	0	0	0	0	0	0	0	1	0	0.230092	1.0725e-18	3.94072e-07
0-100%	Mobile Home	AK	Renter	2000s	0	0	0	0	0	0	0	1	0	0.420513	1.0725e-18	2.20453e-07
0-100%	Mobile Home	AK	Renter	2010s	0	0	0	0	0	0	0	1	0	0.206289	20.5016	1.66181e-07
0-100%	Mobile Home	AK	Renter	<1940	0	0	0	0	0	0	0	1	0	0.134881	1.0725e-18	6.24577e-08
0-100%	Mobile Home	AL	Not Available	1940s	0	0	0	0	0	0	0	0	1	10.1255	1.04696e-17	0
0-100%	Mobile Home	AL	Not Available	1950s	0	0	0	0	0	0	0	0	1	5.85834	2330.05	0
0-100%	Mobile Home	AL	Not Available	1960s	0	0	0	0	0	0	0	0	1	8.75135	812.271	0
0-100%	Mobile Home	AL	Not Available	1970s	0	0	0	0	0	0	0	0	1	1.51883	5180.13	0
0-100%	Mobile Home	AL	Not Available	1980s	0	0	0	0	0	0	0	0	1	1.22953	2724.21	0
0-100%	Mobile Home	AL	Not Available	1990s	0	0	0	0	0	0	0	0	1	0.723252	8446.48	0
0-100%	Mobile Home	AL	Not Available	2000s	0	0	0	0	0	0	0	0	1	2.16976	5603.65	0
0-100%	Mobile Home	AL	Not Available	2010s	0	0	0	0	0	0	0	0	1	0.867902	1649.96	0
0-100%	Mobile Home	AL	Not Available	<1940	0	0	0	0	0	0	0	0	1	10.1255	1.04696e-17	0
0-100%	Mobile Home	AL	Owner	1940s	0	0	0	0	0.0135443	0.0238084	0	0.962647	0	4.41266	4.20678e-18	8.2901e-07
0-100%	Mobile Home	AL	Owner	1950s	0	0	0	0	0.0245824	0.0279291	0	0.947489	0	2.55304	936.236	1.31115e-06
0-100%	Mobile Home	AL	Owner	1960s	0	0	0	0	0.0341479	0.0372229	0	0.928629	0	3.8138	326.378	9.15886e-06
0-100%	Mobile Home	AL	Owner	1970s	0	0	0	0	0.00790389	0.00528512	0	0.986811	0	0.661899	2081.43	4.33643e-05
0-100%	Mobile Home	AL	Owner	1980s	0	0	0	0	0.0236413	0.0869232	0	0.889436	0	0.535823	1094.61	5.94172e-05
0-100%	Mobile Home	AL	Owner	1990s	0	0	0	0	0	0	0	1	0	0.31519	3393.88	9.86427e-05
0-100%	Mobile Home	AL	Owner	2000s	0	0	0	0	0.00778661	0.0145963	0	0.977617	0	0.94557	2251.6	3.3515e-05
0-100%	Mobile Home	AL	Owner	2010s	0	0	0	0	0.00661311	0.0110465	0	0.98234	0	0.378228	662.971	8.58594e-06
0-100%	Mobile Home	AL	Owner	<1940	0	0	0	0	0.0135443	0.0238084	0	0.962647	0	4.41266	4.20678e-18	6.04345e-07
0-100%	Mobile Home	AL	Renter	1940s	0	0	0	0	0.00110547	0.000702592	0	0.998192	0	4.63389	1.40335e-18	6.46851e-07
0-100%	Mobile Home	AL	Renter	1950s	0	0	0	0	0.00203631	0.000836488	0	0.997127	0	2.68104	312.321	8.79792e-07
0-100%	Mobile Home	AL	Renter	1960s	0	0	0	0	0.00288282	0.00113618	0	0.995981	0	4.00501	108.877	4.87378e-06
0-100%	Mobile Home	AL	Renter	1970s	0	0	0	0	0.000629957	0.000152303	0	0.999218	0	0.695084	694.348	2.34098e-05
0-100%	Mobile Home	AL	Renter	1980s	0	0	0	0	0.00208204	0.00276781	0	0.99515	0	0.562687	365.155	4.0921e-05
0-100%	Mobile Home	AL	Renter	1990s	0	0	0	0	0	0	0	1	0	0.330992	1132.17	6.88175e-05
0-100%	Mobile Home	AL	Renter	2000s	0	0	0	0	0.000626278	0.000424467	0	0.998949	0	0.992977	751.117	2.87954e-05
0-100%	Mobile Home	AL	Renter	2010s	0	0	0	0	0.000529443	0.000319756	0	0.999151	0	0.397191	221.162	9.21535e-06
0-100%	Mobile Home	AL	Renter	<1940	0	0	0	0	0.00110547	0.000702592	0	0.998192	0	4.63389	1.40335e-18	4.32841e-07
0-100%	Mobile Home	AR	Not Available	1940s	0	0	0	0	0	0	0	0	1	19.149	4.65553e-18	0
0-100%	Mobile Home	AR	Not Available	1950s	0	0	0	0	0	0	0	0	1	18.2072	4.65553e-18	0
0-100%	Mobile Home	AR	Not Available	1960s	0	0	0	0	0	0	0	0	1	23.7008	221.829	0
0-100%	Mobile Home	AR	Not Available	1970s	0	0	0	0	0	0	0	0	1	2.82526	1073.71	0
0-100%	Mobile Home	AR	Not Available	1980s	0	0	0	0	0	0	0	0	1	4.70877	1345.98	0
0-100%	Mobile Home	AR	Not Available	1990s	0	0	0	0	0	0	0	0	1	5.17964	1402.04	0
0-100%	Mobile Home	AR	Not Available	2000s	0	0	0	0	0	0	0	0	1	4.23789	1121.22	0
0-100%	Mobile Home	AR	Not Available	2010s	0	0	0	0	0	0	0	0	1	3.29614	529.083	0
0-100%	Mobile Home	AR	Not Available	<1940	0	0	0	0	0	0	0	0	1	19.149	4.65553e-18	0
0-100%	Mobile Home	AR	Owner	1940s	0	0	0	0.00894092	0.252584	0.0495601	0	0.688915	0	2.626	1.96992e-19	5.86701e-07
0-100%	Mobile Home	AR	Owner	1950s	0	0	0	0.0144198	0.184423	0.0169198	0	0.784238	0	2.49685	1.96992e-19	1.14835e-06
0-100%	Mobile Home	AR	Owner	1960s	0	0	0	0.00962039	0.317427	0.0528444	0	0.620108	0	3.25021	9.38638	6.64211e-06
0-100%	Mobile Home	AR	Owner	1970s	0	0	0	0.00696633	0.333643	0.0237791	0	0.635612	0	0.387442	45.4325	2.55946e-05
