Dependency=County	Dependency=Geometry Building Type RECS	Dependency=Vintage	Option=Electricity	Option=Fuel Oil	Option=Natural Gas	Option=None	Option=Other Fuel	Option=Propane	Option=Wood	source_count	source_weight	sampling_probability
AK, Aleutians East Borough	Mobile Home	1940s	0	0.0124481	0	0.93361	0	0	0.0539419	241	0	0
AK, Aleutians East Borough	Mobile Home	1950s	0	0.0124481	0	0.93361	0	0	0.0539419	241	0	1.8331e-08
AK, Aleutians East Borough	Mobile Home	1960s	0	0.0124481	0	0.93361	0	0	0.0539419	241	0	5.32843e-08
AK, Aleutians East Borough	Mobile Home	1970s	0	0.0124481	0	0.93361	0	0	0.0539419	241	1	1.65134e-07
AK, Aleutians East Borough	Mobile Home	1980s	0	0.0124481	0	0.93361	0	0	0.0539419	241	0	9.19659e-08
AK, Aleutians East Borough	Mobile Home	1990s	0	0.0124481	0	0.93361	0	0	0.0539419	241	0	3.99244e-08
AK, Aleutians East Borough	Mobile Home	2000s	0	0.0124481	0	0.93361	0	0	0.0539419	241	0	1.38259e-08
AK, Aleutians East Borough	Mobile Home	2010s	0	0.0124481	0	0.93361	0	0	0.0539419	241	0	5.74788e-09
AK, Aleutians East Borough	Mobile Home	<1940	0	0.0124481	0	0.93361	0	0	0.0539419	241	0	4.19437e-09
AK, Aleutians West Census Area	Mobile Home	1940s	0	0.00803213	0.00401606	0.947791	0	0	0.0401606	249	0	0
AK, Aleutians West Census Area	Mobile Home	1950s	0	0.00803213	0.00401606	0.947791	0	0	0.0401606	249	0	3.57136e-08
AK, Aleutians West Census Area	Mobile Home	1960s	0	0.00803213	0.00401606	0.947791	0	0	0.0401606	249	0	1.03812e-07
AK, Aleutians West Census Area	Mobile Home	1970s	0	0.00803213	0.00401606	0.947791	0	0	0.0401606	249	1	3.21724e-07
AK, Aleutians West Census Area	Mobile Home	1980s	0	0.00803213	0.00401606	0.947791	0	0	0.0401606	249	0	1.79173e-07
AK, Aleutians West Census Area	Mobile Home	1990s	0	0.00803213	0.00401606	0.947791	0	0	0.0401606	249	0	7.7783e-08
AK, Aleutians West Census Area	Mobile Home	2000s	0	0.00803213	0.00401606	0.947791	0	0	0.0401606	249	0	2.69365e-08
AK, Aleutians West Census Area	Mobile Home	2010s	0	0.00803213	0.00401606	0.947791	0	0	0.0401606	249	0	1.11983e-08
AK, Aleutians West Census Area	Mobile Home	<1940	0	0.00803213	0.00401606	0.947791	0	0	0.0401606	249	0	8.17172e-09
AK, Anchorage Municipality	Mobile Home	1940s	0	0	0.00466853	0.99253	0	0	0.00280112	1071	2	0
AK, Anchorage Municipality	Mobile Home	1950s	0	0	0.0434783	0.956522	0	0	0	23	23	5.97423e-07
AK, Anchorage Municipality	Mobile Home	1960s	0	0	0.00543478	0.994565	0	0	0	184	184	5.12678e-06
AK, Anchorage Municipality	Mobile Home	1970s	0	0	0.00153846	0.996923	0	0	0.00153846	650	650	2.04144e-05
