Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Dependency=Vintage	Option=None	Option=Yes	Option=Void	source_count	source_weight	sampling_probability
0-100%	Mobile Home	AK	Not Available	1940s	0	0	1	1.33653	1.5395e-17	0
0-100%	Mobile Home	AK	Not Available	1950s	0	0	1	1.33653	123.607	0
0-100%	Mobile Home	AK	Not Available	1960s	0	0	1	0.943431	1.5395e-17	0
0-100%	Mobile Home	AK	Not Available	1970s	0	0	1	4.55992	1156.17	0
0-100%	Mobile Home	AK	Not Available	1980s	0	0	1	4.95301	197.274	0
0-100%	Mobile Home	AK	Not Available	1990s	0	0	1	2.27996	1.5395e-17	0
0-100%	Mobile Home	AK	Not Available	2000s	0	0	1	4.16682	1.5395e-17	0
0-100%	Mobile Home	AK	Not Available	2010s	0	0	1	2.0441	294.285	0
0-100%	Mobile Home	AK	Not Available	<1940	0	0	1	1.33653	1.5395e-17	0
0-100%	Mobile Home	AK	Owner	1940s	0.0725255	0.927474	0	0.607617	8.34068e-18	1.33201e-07
0-100%	Mobile Home	AK	Owner	1950s	0.0725255	0.927474	0	0.607617	66.9675	4.97177e-07
0-100%	Mobile Home	AK	Owner	1960s	0	1	0	0.428906	8.34068e-18	1.10477e-06
0-100%	Mobile Home	AK	Owner	1970s	0.142447	0.857553	0	2.07305	626.39	4.68241e-06
0-100%	Mobile Home	AK	Owner	1980s	0.0341965	0.965804	0	2.25176	106.879	1.44041e-06
0-100%	Mobile Home	AK	Owner	1990s	0.238683	0.761317	0	1.03652	8.34068e-18	3.1576e-07
0-100%	Mobile Home	AK	Owner	2000s	0.170336	0.829664	0	1.89433	8.34068e-18	2.19144e-07
0-100%	Mobile Home	AK	Owner	2010s	0.0842519	0.915748	0	0.929296	159.438	3.26188e-07
0-100%	Mobile Home	AK	Owner	<1940	0.15315	0.84685	0	0.607617	8.34068e-18	6.29719e-08
0-100%	Mobile Home	AK	Renter	1940s	0.0840739	0.915926	0	0.134881	1.0725e-18	6.98183e-08
0-100%	Mobile Home	AK	Renter	1950s	0.0840739	0.915926	0	0.134881	8.61116	2.08479e-07
0-100%	Mobile Home	AK	Renter	1960s	0	1	0	0.0952105	1.0725e-18	4.42703e-07
0-100%	Mobile Home	AK	Renter	1970s	0.16317	0.83683	0	0.460184	80.5456	1.95088e-06
0-100%	Mobile Home	AK	Renter	1980s	0.0399042	0.960096	0	0.499855	13.7432	1.50031e-06
0-100%	Mobile Home	AK	Renter	1990s	0.269015	0.730985	0	0.230092	1.0725e-18	3.94072e-07
0-100%	Mobile Home	AK	Renter	2000s	0.194197	0.805803	0	0.420513	1.0725e-18	2.20453e-07
0-100%	Mobile Home	AK	Renter	2010s	0.0974713	0.902529	0	0.206289	20.5016	1.66181e-07
0-100%	Mobile Home	AK	Renter	<1940	0.175113	0.824887	0	0.134881	1.0725e-18	6.24577e-08
0-100%	Mobile Home	AL	Not Available	1940s	0	0	1	10.1255	1.04696e-17	0
0-100%	Mobile Home	AL	Not Available	1950s	0	0	1	5.85834	2330.05	0
0-100%	Mobile Home	AL	Not Available	1960s	0	0	1	8.75135	812.271	0
0-100%	Mobile Home	AL	Not Available	1970s	0	0	1	1.51883	5180.13	0
0-100%	Mobile Home	AL	Not Available	1980s	0	0	1	1.22953	2724.21	0
0-100%	Mobile Home	AL	Not Available	1990s	0	0	1	0.723252	8446.48	0
0-100%	Mobile Home	AL	Not Available	2000s	0	0	1	2.16976	5603.65	0
0-100%	Mobile Home	AL	Not Available	2010s	0	0	1	0.867902	1649.96	0
0-100%	Mobile Home	AL	Not Available	<1940	0	0	1	10.1255	1.04696e-17	0
0-100%	Mobile Home	AL	Owner	1940s	0.0725434	0.927457	0	4.41266	4.20678e-18	8.2901e-07
0-100%	Mobile Home	AL	Owner	1950s	0.0938585	0.906142	0	2.55304	936.236	1.31115e-06
0-100%	Mobile Home	AL	Owner	1960s	0.0491813	0.950819	0	3.8138	326.378	9.15886e-06
0-100%	Mobile Home	AL	Owner	1970s	0.231449	0.768551	0	0.661899	2081.43	4.33643e-05
0-100%	Mobile Home	AL	Owner	1980s	0.124598	0.875402	0	0.535823	1094.61	5.94172e-05
0-100%	Mobile Home	AL	Owner	1990s	0.214475	0.785525	0	0.31519	3393.88	9.86427e-05
0-100%	Mobile Home	AL	Owner	2000s	0	1	0	0.94557	2251.6	3.3515e-05
0-100%	Mobile Home	AL	Owner	2010s	0.47662	0.52338	0	0.378228	662.971	8.58594e-06
0-100%	Mobile Home	AL	Owner	<1940	0.0725434	0.927457	0	4.41266	4.20678e-18	6.04345e-07
