Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=State	Dependency=Tenure	Dependency=Vintage	Option=EF 6.7	Option=EF 10.2	Option=EF 10.5	Option=EF 15.9	Option=EF 17.6	Option=EF 19.9	Option=EF 21.9	Option=None	Option=Void	source_count	source_weight	sampling_probability
400%+	Mobile Home	AK	Renter	1940s	0.0336278	0.00370182	0.0115663	0.0348495	0.475839	0.408957	0.0314589	0	0	29	0	1.97917e-08
Not Available	Mobile Home	AK	Not Available	1940s	0.0359018	0.00642097	0.0157731	0.0600883	0.401805	0.428184	0.0518273	0	0	17	0	2.14247e-07
Not Available	Mobile Home	AK	Owner	1940s	0	0	0	0	0	0	0	0	1	16	0	0
Not Available	Mobile Home	AK	Renter	1940s	0	0	0	0	0	0	0	0	1	80	0	0
0-100%	Mobile Home	AK	Not Available	1950s	0	0	0	0	0	0	0	0	1	152	0	0
0-100%	Mobile Home	AK	Owner	1950s	0.0199614	0.00291913	0.00831736	0.0779909	0.357681	0.460954	0.0721768	0	0	108	0	4.97177e-07
0-100%	Mobile Home	AK	Renter	1950s	0.0357951	0.00640188	0.0164444	0.117794	0.421103	0.268503	0.0206421	0.113317	0	44	0	2.08479e-07
100-150%	Mobile Home	AK	Not Available	1950s	0	0	0	0	0	0	0	0	1	152	272.238	0
100-150%	Mobile Home	AK	Owner	1950s	0.0199614	0.00291913	0.00831736	0.0779909	0.357681	0.460954	0.0721768	0	0	108	272.238	3.37461e-07
100-150%	Mobile Home	AK	Renter	1950s	0.0357951	0.00640188	0.0164444	0.117794	0.421103	0.268503	0.0206421	0.113317	0	44	0	1.28817e-07
150-200%	Mobile Home	AK	Not Available	1950s	0	0	0	0	0	0	0	0	1	152	530.664	0
150-200%	Mobile Home	AK	Owner	1950s	0.0199614	0.00291913	0.00831736	0.0779909	0.357681	0.460954	0.0721768	0	0	108	530.664	2.02708e-07
150-200%	Mobile Home	AK	Renter	1950s	0.0357951	0.00640188	0.0164444	0.117794	0.421103	0.268503	0.0206421	0.113317	0	44	0	8.21787e-08
200-300%	Mobile Home	AK	Not Available	1950s	0	0	0	0	0	0	0	0	1	202	0	0
200-300%	Mobile Home	AK	Owner	1950s	0.0226202	0.00290303	0.00915935	0.0738259	0.361596	0.469584	0.0603117	0	0	165	0	3.63308e-07
200-300%	Mobile Home	AK	Renter	1950s	0.0860693	0.0153933	0.0383089	0.0840986	0.468556	0.289657	0.0179171	0	0	37	0	1.02007e-07
300-400%	Mobile Home	AK	Not Available	1950s	0	0	0	0	0	0	0	0	1	202	0	0
300-400%	Mobile Home	AK	Owner	1950s	0.0226202	0.00290303	0.00915935	0.0738259	0.361596	0.469584	0.0603117	0	0	165	0	1.9053e-07
300-400%	Mobile Home	AK	Renter	1950s	0.0860693	0.0153933	0.0383089	0.0840986	0.468556	0.289657	0.0179171	0	0	37	0	6.57448e-08
400%+	Mobile Home	AK	Not Available	1950s	0	0	0	0	0	0	0	0	1	235	0	0
400%+	Mobile Home	AK	Owner	1950s	0.0310789	0.00469785	0.0135647	0.0914862	0.33987	0.473285	0.0460171	0	0	206	0	2.66299e-07
400%+	Mobile Home	AK	Renter	1950s	0.0336278	0.00370182	0.0115663	0.0348495	0.475839	0.408957	0.0314589	0	0	29	0	7.53208e-08
Not Available	Mobile Home	AK	Not Available	1950s	0.0359018	0.00642097	0.0157731	0.0600883	0.401805	0.428184	0.0518273	0	0	17	802.902	8.06665e-07
Not Available	Mobile Home	AK	Owner	1950s	0	0	0	0	0	0	0	0	1	16	802.902	0
Not Available	Mobile Home	AK	Renter	1950s	0	0	0	0	0	0	0	0	1	80	0	0
0-100%	Mobile Home	AK	Not Available	1960s	0	0	0	0	0	0	0	0	1	31	0	0
0-100%	Mobile Home	AK	Owner	1960s	0.0537385	0.0088157	0.0233218	0.0609108	0.393042	0.410432	0.0497386	0	0	26	0	1.10477e-06
0-100%	Mobile Home	AK	Renter	1960s	0.0386069	0.00690477	0.0197994	0.115593	0.47171	0.290553	0.0568337	0	0	51	0	4.42703e-07
100-150%	Mobile Home	AK	Not Available	1960s	0	0	0	0	0	0	0	0	1	22	0	0
100-150%	Mobile Home	AK	Owner	1960s	0.075296	0.0124191	0.0327016	0.0469096	0.286129	0.483605	0.0629405	0	0	20	0	8.7479e-07
100-150%	Mobile Home	AK	Renter	1960s	0.0386069	0.00690477	0.0197994	0.115593	0.47171	0.290553	0.0568337	0	0	51	0	4.6879e-07
150-200%	Mobile Home	AK	Not Available	1960s	0	0	0	0	0	0	0	0	1	13	0	0
150-200%	Mobile Home	AK	Owner	1960s	0.0363615	0.00650319	0.015975	0.00942006	0.263188	0.618553	0.0499989	0	0	11	0	7.71082e-07
150-200%	Mobile Home	AK	Renter	1960s	0.0386069	0.00690477	0.0197994	0.115593	0.47171	0.290553	0.0568337	0	0	51	0	4.09495e-07
200-300%	Mobile Home	AK	Not Available	1960s	0	0	0	0	0	0	0	0	1	14	0	0
200-300%	Mobile Home	AK	Owner	1960s	0	0	0	0.00777746	0.396673	0.516121	0.0794284	0	0	10	0	1.66657e-06
200-300%	Mobile Home	AK	Renter	1960s	0.338356	0.0570371	0.147395	0.109588	0.2434	0.102481	0.00174408	0	0	12	0	5.51408e-07
300-400%	Mobile Home	AK	Not Available	1960s	0	0	0	0	0	0	0	0	1	28	0	0
300-400%	Mobile Home	AK	Owner	1960s	0.00795078	0.00120061	0.00366775	0.0462187	0.359628	0.517124	0.0642106	0	0	20	0	1.24716e-06
300-400%	Mobile Home	AK	Renter	1960s	0.338356	0.0570371	0.147395	0.109588	0.2434	0.102481	0.00174408	0	0	12	0	3.49387e-07
400%+	Mobile Home	AK	Not Available	1960s	0	0	0	0	0	0	0	0	1	35	0	0
400%+	Mobile Home	AK	Owner	1960s	0.0386277	0.0064003	0.0173716	0.106749	0.321875	0.437958	0.0710187	0	0	28	0	2.45554e-06
400%+	Mobile Home	AK	Renter	1960s	1.39428e-05	2.49364e-06	0.000562733	0.0355489	0.474589	0.458869	0.0304146	0	0	46	0	6.80122e-07
Not Available	Mobile Home	AK	Not Available	1960s	0	0	0.00132636	0.177887	0.399144	0.375023	0.0466196	0	0	12	0	2.62594e-06
Not Available	Mobile Home	AK	Owner	1960s	0	0	0	0	0	0	0	0	1	10	0	0
Not Available	Mobile Home	AK	Renter	1960s	0	0	0	0	0	0	0	0	1	16	0	0
0-100%	Mobile Home	AK	Not Available	1970s	0	0	0	0	0	0	0	0	1	31	4598.49	0
0-100%	Mobile Home	AK	Owner	1970s	0.0537385	0.0088157	0.0233218	0.0609108	0.393042	0.410432	0.0497386	0	0	26	2797.25	4.68241e-06
0-100%	Mobile Home	AK	Renter	1970s	0.0386069	0.00690477	0.0197994	0.115593	0.47171	0.290553	0.0568337	0	0	51	1801.24	1.95088e-06
100-150%	Mobile Home	AK	Not Available	1970s	0	0	0	0	0	0	0	0	1	22	0	0
100-150%	Mobile Home	AK	Owner	1970s	0.075296	0.0124191	0.0327016	0.0469096	0.286129	0.483605	0.0629405	0	0	20	0	3.54031e-06
100-150%	Mobile Home	AK	Renter	1970s	0.0386069	0.00690477	0.0197994	0.115593	0.47171	0.290553	0.0568337	0	0	51	0	2.3174e-06
150-200%	Mobile Home	AK	Not Available	1970s	0	0	0	0	0	0	0	0	1	11	20.1907	0
150-200%	Mobile Home	AK	Owner	1970s	0.0363615	0.00650319	0.015975	0.00942006	0.263188	0.618553	0.0499989	0	0	11	20.1907	3.1703e-06
150-200%	Mobile Home	AK	Renter	1970s	0.0386069	0.00690477	0.0197994	0.115593	0.47171	0.290553	0.0568337	0	0	51	0	1.89633e-06
200-300%	Mobile Home	AK	Not Available	1970s	0	0	0	0	0	0	0	0	1	13	1347.56	0
200-300%	Mobile Home	AK	Owner	1970s	0	0	0	0.00777746	0.396673	0.516121	0.0794284	0	0	10	1347.56	7.1584e-06
200-300%	Mobile Home	AK	Renter	1970s	0.338356	0.0570371	0.147395	0.109588	0.2434	0.102481	0.00174408	0	0	12	0	2.4035e-06
300-400%	Mobile Home	AK	Not Available	1970s	0	0	0	0	0	0	0	0	1	22	1543.82	0
300-400%	Mobile Home	AK	Owner	1970s	0.00920704	0.00139031	0.00395229	0.00132975	0.348149	0.563807	0.0721645	0	0	15	1543.82	5.48809e-06
300-400%	Mobile Home	AK	Renter	1970s	0.338356	0.0570371	0.147395	0.109588	0.2434	0.102481	0.00174408	0	0	12	0	1.4857e-06
400%+	Mobile Home	AK	Not Available	1970s	0	0	0	0	0	0	0	0	1	27	0	0
400%+	Mobile Home	AK	Owner	1970s	0.0517248	0.00857039	0.0224786	0.0659361	0.316245	0.470792	0.0642524	0	0	21	0	1.08196e-05
400%+	Mobile Home	AK	Renter	1970s	1.39428e-05	2.49364e-06	0.000562733	0.0355489	0.474589	0.458869	0.0304146	0	0	46	0	2.82146e-06
Not Available	Mobile Home	AK	Not Available	1970s	0.0712891	0.0118956	0.0310111	0.0447946	0.349404	0.431341	0.0602648	0	0	58	7510.05	1.18386e-05
Not Available	Mobile Home	AK	Owner	1970s	0	0	0	0	0	0	0	0	1	44	5708.82	0
Not Available	Mobile Home	AK	Renter	1970s	0	0	0	0	0	0	0	0	1	14	1801.24	0
0-100%	Mobile Home	AK	Not Available	1980s	0	0	0	0	0	0	0	0	1	11	1281.42	0
0-100%	Mobile Home	AK	Owner	1980s	0.0752393	0.0114866	0.0310742	0.0249469	0.329771	0.453855	0.0736279	0	0	33	1281.42	1.44041e-06
0-100%	Mobile Home	AK	Renter	1980s	0.00631432	0.000894035	0.00250798	0.0361915	0.378959	0.328924	0.0682076	0.178001	0	48	0	1.50031e-06
100-150%	Mobile Home	AK	Not Available	1980s	0	0	0	0	0	0	0	0	1	13	0	0
100-150%	Mobile Home	AK	Owner	1980s	0.0643251	0.00971344	0.0276127	0.0194696	0.292579	0.511666	0.074634	0	0	12	0	1.03795e-06
100-150%	Mobile Home	AK	Renter	1980s	0.00631432	0.000894035	0.00250798	0.0361915	0.378959	0.328924	0.0682076	0.178001	0	48	0	9.75945e-07
150-200%	Mobile Home	AK	Not Available	1980s	0	0	0	0	0	0	0	0	1	10	0	0
150-200%	Mobile Home	AK	Owner	1980s	0.12326	0.018928	0.0498294	0.0442528	0.300143	0.388606	0.0749814	0	0	14	0	1.37326e-06
150-200%	Mobile Home	AK	Renter	1980s	0.00631432	0.000894035	0.00250798	0.0361915	0.378959	0.328924	0.0682076	0.178001	0	48	0	6.65102e-07
200-300%	Mobile Home	AK	Not Available	1980s	0	0	0	0	0	0	0	0	1	14	0	0
200-300%	Mobile Home	AK	Owner	1980s	0	0	0	0.116467	0.469692	0.396141	0.0176994	0	0	12	0	3.00642e-06
200-300%	Mobile Home	AK	Renter	1980s	0.00221607	0.000396339	0.000982557	0.0868272	0.417048	0.3893	0.103231	0	0	40	0	9.5866e-07
300-400%	Mobile Home	AK	Not Available	1980s	0	0	0	0	0	0	0	0	1	29	0	0
300-400%	Mobile Home	AK	Owner	1980s	0.0543065	0.00820058	0.0245728	0.106883	0.255222	0.479534	0.0712814	0	0	26	0	2.4426e-06
300-400%	Mobile Home	AK	Renter	1980s	0.00221607	0.000396339	0.000982557	0.0868272	0.417048	0.3893	0.103231	0	0	40	0	5.77234e-07
400%+	Mobile Home	AK	Not Available	1980s	0	0	0	0	0	0	0	0	1	30	0	0
400%+	Mobile Home	AK	Owner	1980s	0	0	0.00121533	0.172151	0.410411	0.365363	0.0508592	0	0	26	0	5.69161e-06
400%+	Mobile Home	AK	Renter	1980s	0	0	0.000135623	0.087784	0.470605	0.385718	0.0557578	0	0	33	0	8.92853e-07
Not Available	Mobile Home	AK	Not Available	1980s	0.0239622	0.00353741	0.0105003	0.104655	0.391831	0.410563	0.0549519	0	0	63	1281.42	4.84658e-06
Not Available	Mobile Home	AK	Owner	1980s	0	0	0	0	0	0	0	0	1	54	1281.42	0
Not Available	Mobile Home	AK	Renter	1980s	0	0	0	0	0	0	0	0	1	14	0	0
0-100%	Mobile Home	AK	Not Available	1990s	0	0	0	0	0	0	0	0	1	11	0	0
0-100%	Mobile Home	AK	Owner	1990s	0.0752393	0.0114866	0.0310742	0.0249469	0.329771	0.453855	0.0736279	0	0	33	0	3.1576e-07
0-100%	Mobile Home	AK	Renter	1990s	0.00631432	0.000894035	0.00250798	0.0361915	0.378959	0.328924	0.0682076	0.178001	0	48	0	3.94072e-07
100-150%	Mobile Home	AK	Not Available	1990s	0	0	0	0	0	0	0	0	1	13	0	0
100-150%	Mobile Home	AK	Owner	1990s	0.0643251	0.00971344	0.0276127	0.0194696	0.292579	0.511666	0.074634	0	0	12	0	2.08407e-07
100-150%	Mobile Home	AK	Renter	1990s	0.00631432	0.000894035	0.00250798	0.0361915	0.378959	0.328924	0.0682076	0.178001	0	48	0	2.43623e-07
150-200%	Mobile Home	AK	Not Available	1990s	0	0	0	0	0	0	0	0	1	15	0	0
150-200%	Mobile Home	AK	Owner	1990s	0.12326	0.018928	0.0498294	0.0442528	0.300143	0.388606	0.0749814	0	0	14	0	3.01148e-07
150-200%	Mobile Home	AK	Renter	1990s	0.00631432	0.000894035	0.00250798	0.0361915	0.378959	0.328924	0.0682076	0.178001	0	48	0	1.59713e-07
200-300%	Mobile Home	AK	Not Available	1990s	0	0	0	0	0	0	0	0	1	17	0	0
200-300%	Mobile Home	AK	Owner	1990s	0	0	0	0.112806	0.548514	0.325597	0.0130824	0	0	14	0	6.04706e-07
200-300%	Mobile Home	AK	Renter	1990s	0.00221607	0.000396339	0.000982557	0.0868272	0.417048	0.3893	0.103231	0	0	40	0	2.2836e-07
300-400%	Mobile Home	AK	Not Available	1990s	0	0	0	0	0	0	0	0	1	34	0	0
300-400%	Mobile Home	AK	Owner	1990s	0.0515866	0.00778985	0.0233421	0.101529	0.254403	0.493638	0.0677112	0	0	31	0	5.14647e-07
300-400%	Mobile Home	AK	Renter	1990s	0.00221607	0.000396339	0.000982557	0.0868272	0.417048	0.3893	0.103231	0	0	40	0	1.43703e-07
400%+	Mobile Home	AK	Not Available	1990s	0	0	0	0	0	0	0	0	1	16	0	0
400%+	Mobile Home	AK	Owner	1990s	0	0	0.00108941	0.102876	0.269667	0.57174	0.0546278	0	0	15	0	1.20799e-06
400%+	Mobile Home	AK	Renter	1990s	0	0	0.000135623	0.087784	0.470605	0.385718	0.0557578	0	0	33	0	1.96091e-07
Not Available	Mobile Home	AK	Not Available	1990s	0.040277	0.00668821	0.0186087	0.0977802	0.296241	0.476004	0.0644004	0	0	29	0	1.52055e-06
Not Available	Mobile Home	AK	Owner	1990s	0	0	0	0	0	0	0	0	1	24	0	0
Not Available	Mobile Home	AK	Renter	1990s	0	0	0	0	0	0	0	0	1	14	0	0
0-100%	Mobile Home	AK	Not Available	2000s	0	0	0	0	0	0	0	0	1	12	0	0
0-100%	Mobile Home	AK	Owner	2000s	0	0	0.00117834	0.0836649	0.352249	0.327185	0.0214561	0.214267	0	16	0	2.19144e-07
0-100%	Mobile Home	AK	Renter	2000s	0.0405844	0.00725845	0.0201324	0.214853	0.533558	0.154295	0.0293178	0	0	18	0	2.20453e-07
100-150%	Mobile Home	AK	Not Available	2000s	0	0	0	0	0	0	0	0	1	22	0	0
100-150%	Mobile Home	AK	Owner	2000s	0	0	0.0022861	0.162319	0.367701	0.426066	0.0416272	0	0	10	0	2.20025e-07
100-150%	Mobile Home	AK	Renter	2000s	0	0	0	0.108778	0.701258	0.1891	0.000863054	0	0	12	0	1.53226e-07
150-200%	Mobile Home	AK	Not Available	2000s	0	0	0	0	0	0	0	0	1	15	0	0
150-200%	Mobile Home	AK	Owner	2000s	0	0	0.0022861	0.162319	0.367701	0.426066	0.0416272	0	0	10	0	2.0505e-07
150-200%	Mobile Home	AK	Renter	2000s	0	0	0	0.108778	0.701258	0.1891	0.000863054	0	0	12	0	1.22602e-07
200-300%	Mobile Home	AK	Not Available	2000s	0	0	0	0	0	0	0	0	1	14	0	0
200-300%	Mobile Home	AK	Owner	2000s	0	0	0.00109486	0.235712	0.340571	0.406057	0.0165654	0	0	10	0	4.18827e-07
200-300%	Mobile Home	AK	Renter	2000s	0	0	0	0	0.444686	0.454588	0.100726	0	0	13	0	1.7079e-07
300-400%	Mobile Home	AK	Not Available	2000s	0	0	0	0	0	0	0	0	1	21	0	0
300-400%	Mobile Home	AK	Owner	2000s	0.0772869	0.0138226	0.0356855	0.167811	0.266977	0.411033	0.027384	0	0	19	0	3.47015e-07
300-400%	Mobile Home	AK	Renter	2000s	0	0	0	0	0.444686	0.454588	0.100726	0	0	13	0	1.00917e-07
400%+	Mobile Home	AK	Not Available	2000s	0	0	0	0	0	0	0	0	1	24	0	0
400%+	Mobile Home	AK	Owner	2000s	0.023655	0.00423065	0.0136462	0.169616	0.391674	0.364812	0.0323655	0	0	22	0	7.97488e-07
400%+	Mobile Home	AK	Renter	2000s	0.0581338	0.00844584	0.0228337	0.0547455	0.428394	0.36171	0.0574882	0.00824906	0	25	0	1.30859e-07
Not Available	Mobile Home	AK	Not Available	2000s	0.0301253	0.00538786	0.0155927	0.1686	0.354451	0.329506	0.0348724	0.0614653	0	53	0	8.76415e-07
Not Available	Mobile Home	AK	Owner	2000s	0	0	0	0	0	0	0	0	1	41	0	0
Not Available	Mobile Home	AK	Renter	2000s	0	0	0	0	0	0	0	0	1	12	0	0
0-100%	Mobile Home	AK	Not Available	2010s	0	0	0	0	0	0	0	0	1	12	944.437	0
0-100%	Mobile Home	AK	Owner	2010s	0	0	0.00117834	0.0836649	0.352249	0.327185	0.0214561	0.214267	0	16	944.437	3.26188e-07
0-100%	Mobile Home	AK	Renter	2010s	0.0405844	0.00725845	0.0201324	0.214853	0.533558	0.154295	0.0293178	0	0	18	0	1.66181e-07
100-150%	Mobile Home	AK	Not Available	2010s	0	0	0	0	0	0	0	0	1	22	327.922	0
100-150%	Mobile Home	AK	Owner	2010s	0	0	0.0022861	0.162319	0.367701	0.426066	0.0416272	0	0	10	0	2.69819e-07
100-150%	Mobile Home	AK	Renter	2010s	0	0	0	0.108778	0.701258	0.1891	0.000863054	0	0	12	327.922	1.05877e-07
150-200%	Mobile Home	AK	Not Available	2010s	0	0	0	0	0	0	0	0	1	15	639.206	0
150-200%	Mobile Home	AK	Owner	2010s	0	0	0.0022861	0.162319	0.367701	0.426066	0.0416272	0	0	10	0	2.47646e-07
150-200%	Mobile Home	AK	Renter	2010s	0	0	0	0.108778	0.701258	0.1891	0.000863054	0	0	12	639.206	8.32519e-08
200-300%	Mobile Home	AK	Not Available	2010s	0	0	0	0	0	0	0	0	1	22	0	0
200-300%	Mobile Home	AK	Owner	2010s	0	0	0.00290717	0.338112	0.334503	0.31055	0.0139283	0	0	14	0	4.92693e-07
200-300%	Mobile Home	AK	Renter	2010s	0	0	0	0	0.444686	0.454588	0.100726	0	0	13	0	1.30402e-07
300-400%	Mobile Home	AK	Not Available	2010s	0	0	0	0	0	0	0	0	1	27	0	0
300-400%	Mobile Home	AK	Owner	2010s	0.0666555	0.0119212	0.0307767	0.144727	0.258252	0.446266	0.0414005	0	0	22	0	3.36169e-07
300-400%	Mobile Home	AK	Renter	2010s	0	0	0	0	0.444686	0.454588	0.100726	0	0	13	0	9.77242e-08
400%+	Mobile Home	AK	Not Available	2010s	0	0	0	0	0	0	0	0	1	33	0	0
400%+	Mobile Home	AK	Owner	2010s	0.0179899	0.00321746	0.0103781	0.143615	0.404851	0.395335	0.0246144	0	0	29	0	7.30393e-07
400%+	Mobile Home	AK	Renter	2010s	0.0581338	0.00844584	0.0228337	0.0547455	0.428394	0.36171	0.0574882	0.00824906	0	25	0	1.66696e-07
Not Available	Mobile Home	AK	Not Available	2010s	0	0	0.000498446	0.0660238	0.458921	0.399607	0.0330488	0.0419005	0	26	1911.57	6.86779e-07
Not Available	Mobile Home	AK	Owner	2010s	0	0	0	0	0	0	0	0	1	16	944.437	0
Not Available	Mobile Home	AK	Renter	2010s	0	0	0	0	0	0	0	0	1	10	967.128	0
0-100%	Mobile Home	AK	Not Available	<1940	0	0	0	0	0	0	0	0	1	152	0	0
0-100%	Mobile Home	AK	Owner	<1940	0.0199614	0.00291913	0.00831736	0.0779909	0.357681	0.460954	0.0721768	0	0	108	0	6.29719e-08
0-100%	Mobile Home	AK	Renter	<1940	0.0357951	0.00640188	0.0164444	0.117794	0.421103	0.268503	0.0206421	0.113317	0	44	0	6.24577e-08
100-150%	Mobile Home	AK	Not Available	<1940	0	0	0	0	0	0	0	0	1	152	0	0
100-150%	Mobile Home	AK	Owner	<1940	0.0199614	0.00291913	0.00831736	0.0779909	0.357681	0.460954	0.0721768	0	0	108	0	3.54009e-08
100-150%	Mobile Home	AK	Renter	<1940	0.0357951	0.00640188	0.0164444	0.117794	0.421103	0.268503	0.0206421	0.113317	0	44	0	1.90096e-08
150-200%	Mobile Home	AK	Not Available	<1940	0	0	0	0	0	0	0	0	1	152	0	0
150-200%	Mobile Home	AK	Owner	<1940	0.0199614	0.00291913	0.00831736	0.0779909	0.357681	0.460954	0.0721768	0	0	108	0	1.10454e-08
150-200%	Mobile Home	AK	Renter	<1940	0.0357951	0.00640188	0.0164444	0.117794	0.421103	0.268503	0.0206421	0.113317	0	44	0	1.50825e-08
200-300%	Mobile Home	AK	Not Available	<1940	0	0	0	0	0	0	0	0	1	202	0	0
200-300%	Mobile Home	AK	Owner	<1940	0.0226202	0.00290303	0.00915935	0.0738259	0.361596	0.469584	0.0603117	0	0	165	0	4.46033e-08
200-300%	Mobile Home	AK	Renter	<1940	0.0860693	0.0153933	0.0383089	0.0840986	0.468556	0.289657	0.0179171	0	0	37	0	1.33098e-08
300-400%	Mobile Home	AK	Not Available	<1940	0	0	0	0	0	0	0	0	1	202	0	0
300-400%	Mobile Home	AK	Owner	<1940	0.0226202	0.00290303	0.00915935	0.0738259	0.361596	0.469584	0.0603117	0	0	165	0	4.82007e-08
300-400%	Mobile Home	AK	Renter	<1940	0.0860693	0.0153933	0.0383089	0.0840986	0.468556	0.289657	0.0179171	0	0	37	0	5.34028e-09
400%+	Mobile Home	AK	Not Available	<1940	0	0	0	0	0	0	0	0	1	235	0	0
400%+	Mobile Home	AK	Owner	<1940	0.0310789	0.00469785	0.0135647	0.0914862	0.33987	0.473285	0.0460171	0	0	206	0	1.20068e-07
400%+	Mobile Home	AK	Renter	<1940	0.0336278	0.00370182	0.0115663	0.0348495	0.475839	0.408957	0.0314589	0	0	29	0	8.5483e-09
Not Available	Mobile Home	AK	Not Available	<1940	0.0221247	0.00395696	0.00972024	0.0707443	0.460464	0.390545	0.0424444	0	0	17	0	1.83706e-07
Not Available	Mobile Home	AK	Owner	<1940	0	0	0	0	0	0	0	0	1	16	0	0
Not Available	Mobile Home	AK	Renter	<1940	0	0	0	0	0	0	0	0	1	80	0	0
0-100%	Mobile Home	AL	Not Available	1940s	0	0	0	0	0	0	0	0	1	34	0	0
0-100%	Mobile Home	AL	Owner	1940s	0.023959	0.00428503	0.0116146	0.109258	0.419983	0.35829	0.034967	0.0376428	0	20	0	8.2901e-07
0-100%	Mobile Home	AL	Renter	1940s	0	0	0.00112565	0.144264	0.436468	0.294948	0.0298128	0.0933828	0	14	0	6.46851e-07
100-150%	Mobile Home	AL	Not Available	1940s	0	0	0	0	0	0	0	0	1	25	0	0
100-150%	Mobile Home	AL	Owner	1940s	0.0633101	0.0113229	0.0278153	0.117565	0.495216	0.284772	0	0	0	20	0	6.44098e-07
100-150%	Mobile Home	AL	Renter	1940s	0	0	0	0.0589257	0.609507	0.314308	0.017259	0	0	15	0	2.53368e-07
150-200%	Mobile Home	AL	Not Available	1940s	0	0	0	0	0	0	0	0	1	19	0	0
150-200%	Mobile Home	AL	Owner	1940s	0.0245753	0.00439524	0.0107969	0.0958431	0.489631	0.323342	0.0514166	0	0	14	0	4.15473e-07
150-200%	Mobile Home	AL	Renter	1940s	0	0	0	0.0589257	0.609507	0.314308	0.017259	0	0	15	0	1.87266e-07
200-300%	Mobile Home	AL	Not Available	1940s	0	0	0	0	0	0	0	0	1	33	0	0
200-300%	Mobile Home	AL	Owner	1940s	0.030779	0.00550476	0.0151604	0.143283	0.359871	0.421908	0.0234934	0	0	27	0	5.04632e-07
200-300%	Mobile Home	AL	Renter	1940s	0	0	0.00275945	0.188723	0.458653	0.324561	0.0253033	0	0	14	0	2.43354e-07
300-400%	Mobile Home	AL	Not Available	1940s	0	0	0	0	0	0	0	0	1	33	0	0
300-400%	Mobile Home	AL	Owner	1940s	0	0	0.00108561	0.132951	0.40702	0.419868	0.039075	0	0	29	0	3.33362e-07
300-400%	Mobile Home	AL	Renter	1940s	0	0	0.00275945	0.188723	0.458653	0.324561	0.0253033	0	0	14	0	1.22284e-07
400%+	Mobile Home	AL	Not Available	1940s	0	0	0	0	0	0	0	0	1	54	0	0
400%+	Mobile Home	AL	Owner	1940s	0.0485648	0.00629883	0.0213698	0.153372	0.269773	0.411868	0.0887542	0	0	48	0	4.41717e-07
400%+	Mobile Home	AL	Renter	1940s	0.0244376	0.00437061	0.0129106	0.182417	0.401402	0.298414	0.0760481	0	0	42	0	1.1511e-07
