Dependency=Clothes Washer Presence	Dependency=Federal Poverty Level	Dependency=Geometry Building Type RECS	Dependency=Heating Fuel	Dependency=State	Dependency=Tenure	Option=Electric	Option=Gas	Option=None	Option=Propane	Option=Void	source_count	source_weight	sampling_probability
None	0-100%	Mobile Home	Electricity	AK	Not Available	0	0	0	0	1	1.33653	1.5395e-17	0
None	0-100%	Mobile Home	Electricity	AK	Owner	0	0	1	0	0	0.607617	8.34068e-18	2.48001e-08
None	0-100%	Mobile Home	Electricity	AK	Renter	0	0	1	0	0	0.134881	1.0725e-18	2.37149e-08
None	0-100%	Mobile Home	Electricity	AL	Not Available	0	0	0	0	1	1.66348	1822.98	0
None	0-100%	Mobile Home	Electricity	AL	Owner	0	0	1	0	0	0.724937	732.489	3.38971e-05
None	0-100%	Mobile Home	Electricity	AL	Renter	0	0	1	0	0	0.761282	244.353	2.6299e-05
None	0-100%	Mobile Home	Electricity	AR	Not Available	0	0	0	0	1	3.13918	243.8	0
None	0-100%	Mobile Home	Electricity	AR	Owner	0	0	1	0	0	0.430491	10.316	9.00717e-06
None	0-100%	Mobile Home	Electricity	AR	Renter	0	0	1	0	0	0.831147	153.815	8.87462e-06
None	0-100%	Mobile Home	Electricity	AZ	Not Available	0	0	0	0	1	1.22339	1099.07	0
None	0-100%	Mobile Home	Electricity	AZ	Owner	0	0	1	0	0	1.51836	552.801	1.14124e-05
None	0-100%	Mobile Home	Electricity	AZ	Renter	0	0	1	0	0	0.800453	92.9397	1.09196e-05
None	0-100%	Mobile Home	Electricity	CA	Not Available	0	0	0	0	1	0.253016	654.011	0
None	0-100%	Mobile Home	Electricity	CA	Owner	0	0	1	0	0	0.359279	365.295	8.77158e-06
None	0-100%	Mobile Home	Electricity	CA	Renter	0	0	1	0	0	0.332396	41.7438	1.01291e-05
None	0-100%	Mobile Home	Electricity	CO	Not Available	0	0	0	0	1	2.42744	136.012	0
None	0-100%	Mobile Home	Electricity	CO	Owner	0	0	1	0	0	1.17168	79.9325	8.10638e-07
None	0-100%	Mobile Home	Electricity	CO	Renter	0	0	1	0	0	0.209831	7.40878	0
None	0-100%	Mobile Home	Electricity	CT	Not Available	0	0	0	0	1	5.04991e-21	1.16069e-57	0
None	0-100%	Mobile Home	Electricity	CT	Owner	0	0	1	0	0	4.37659e-21	1.16069e-57	0
None	0-100%	Mobile Home	Electricity	CT	Renter	0	0	1	0	0	5.04991e-21	1.16069e-57	6.24076e-08
None	0-100%	Mobile Home	Electricity	DC	Not Available	0	0	0	0	1	0.699199	4.7619e-18	0
